DULICA	ULICA	PSC	DPOSTA	POSTA	POZNAMKA	OBCE
Kuzmányho	Kuzmányho	811 06	Bratislava 1	Bratislava 1		Bratislava
Kvačalova	Kvačalova	821 08	Bratislava 2	Bratislava 2		Bratislava
Kvetinárska	Kvetinárska	821 06	Bratislava 214	Bratislava 214		Bratislava
Kvetná	Kvetná	821 08	Bratislava 2	Bratislava 2		Bratislava
Kýčerského	Kýčerského	811 05	Bratislava 1	Bratislava 1		Bratislava
Kyjevská	Kyjevská	831 02	Bratislava 3	Bratislava 3		Bratislava
Kysucká	Kysucká	811 04	Bratislava 1	Bratislava 1		Bratislava
Laborecká	Laborecká	831 04	Bratislava 3	Bratislava 3		Bratislava
Lackova	Lackova	841 04	Bratislava 4	Bratislava 4		Bratislava
Ladislava Batthyányho	Ladislava Batthyányh	851 10	Bratislava 59	Bratislava 59		Bratislava
Ladislava Dérera	Ladislava Dérera	831 01	Bratislava 37	Bratislava 37		Bratislava
Ladislava Sáru	Ladislava Sáru	841 04	Bratislava 4	Bratislava 4		Bratislava
Ľadová	Ľadová	811 05	Bratislava 1	Bratislava 1		Bratislava
Ladzianskeho	Ladzianskeho	831 01	Bratislava 37	Bratislava 37		Bratislava
Lachova	Lachova	851 03	Bratislava 5	Bratislava 5		Bratislava
Ľaliová	Ľaliová	821 05	Bratislava 2	Bratislava 2		Bratislava
Lamač	Lamač	840 02	Bratislava 42	Bratislava 42	č. 6780	Bratislava
Lamačská cesta	Lamačská cesta	811 04	Bratislava 1	Bratislava 1	čísla 8, 8/A	Bratislava
Lamačská cesta	Lamačská cesta	841 04	Bratislava 4	Bratislava 4	čísla 1, 3, 10	Bratislava
Lamačská cesta	Lamačská cesta	841 03	Bratislava 42	Bratislava 42	"nepár.č. 37-137, 103/A; pár.č. 12-22;"	Bratislava
Lamanského	Lamanského	831 03	Bratislava 3	Bratislava 3		Bratislava
Lančárska	Lančárska	841 06	Bratislava 48	Bratislava 48		Bratislava
Landauova	Landauova	841 01	Bratislava 42	Bratislava 42		Bratislava
Landererova	Landererova	811 09	Bratislava 1	Bratislava 1		Bratislava
Langsfeldova	Langsfeldova	811 04	Bratislava 1	Bratislava 1		Bratislava
Ľanová	Ľanová	821 01	Bratislava 2	Bratislava 2		Bratislava
Laskomerského	Laskomerského	831 03	Bratislava 3	Bratislava 3		Bratislava
Laténská	Laténská	851 10	Bratislava 59	Bratislava 59		Bratislava
Latorická	Latorická	821 07	Bratislava 214	Bratislava 214		Bratislava
Laučekova	Laučekova	811 04	Bratislava 1	Bratislava 1		Bratislava
Laurinská	Laurinská	811 01	Bratislava 1	Bratislava 1		Bratislava
Laurotová	Laurotová	831 02	Bratislava 3	Bratislava 3		Bratislava
Lazaretská	Lazaretská	811 08	Bratislava 1	Bratislava 1	"nepár.č. 1-19, 3/A; pár. č. 2, 4, 8, 12-24"	Bratislava
Lazaretská	Lazaretská	811 09	Bratislava 1	Bratislava 1	"nepár.č. 21-35; pár.č. 26-36"	Bratislava
Leánska	Leánska	831 52	Bratislava 35	Bratislava 35		Bratislava
Lediny	Lediny	841 03	Bratislava 42	Bratislava 42		Bratislava
Legerského	Legerského	831 02	Bratislava 3	Bratislava 3		Bratislava
Legionárska	Legionárska	811 07	Bratislava 1	Bratislava 1	pár.č.2-6	Bratislava
Legionárska	Legionárska	831 04	Bratislava 3	Bratislava 3	nepár.č. 1-27, 1/A,B,C,D, 27/A,B,C,D	Bratislava
Lehockého	Lehockého	811 06	Bratislava 1	Bratislava 1	čísla 1, 3	Bratislava
Lehockého	Lehockého	811 05	Bratislava 1	Bratislava 1	pár.č. 2-6	Bratislava
Leknová	Leknová	821 07	Bratislava 214	Bratislava 214		Bratislava
Lenardova	Lenardova	851 01	Bratislava 5	Bratislava 5		Bratislava
Leopoldov majer	Leopoldov majer	841 06	Bratislava 48	Bratislava 48		Bratislava
Lermontovova	Lermontovova	811 05	Bratislava 1	Bratislava 1		Bratislava
Lesná	Lesná	811 04	Bratislava 1	Bratislava 1		Bratislava
Lesnícka	Lesnícka	851 10	Bratislava 59	Bratislava 59		Bratislava
Leškova	Leškova	811 04	Bratislava 1	Bratislava 1		Bratislava
Letecká	Letecká	831 03	Bratislava 3	Bratislava 3		Bratislava
Letisko M.R.Štefánika Bratislava	Letisko M.R.Štefánika	820 01	Bratislava 2	Bratislava 2		Bratislava
Letná	Letná	831 03	Bratislava 3	Bratislava 3		Bratislava
Levanduľová	Levanduľová	821 07	Bratislava 214	Bratislava 214		Bratislava
Levárska	Levárska	841 04	Bratislava 4	Bratislava 4		Bratislava
Levická	Levická	821 08	Bratislava 2	Bratislava 2		Bratislava
Levočská	Levočská	851 01	Bratislava 5	Bratislava 5		Bratislava
Lidická	Lidická	821 04	Bratislava 2	Bratislava 2		Bratislava
Lieskovcová	Lieskovcová	821 07	Bratislava 214	Bratislava 214		Bratislava
Lieskovec	Lieskovec	821 06	Bratislava 214	Bratislava 214		Bratislava
Lieskovská cesta	Lieskovská cesta	821 06	Bratislava 214	Bratislava 214		Bratislava
Lietavská	Lietavská	851 06	Bratislava 5	Bratislava 5		Bratislava
Ligurčeková	Ligurčeková	821 06	Bratislava 214	Bratislava 214		Bratislava
Lichardova	Lichardova	811 03	Bratislava 1	Bratislava 1		Bratislava
Likavská	Likavská	831 01	Bratislava 37	Bratislava 37		Bratislava
Limbová	Limbová	831 01	Bratislava 37	Bratislava 37		Bratislava
Linzbothova	Linzbothova	821 06	Bratislava 214	Bratislava 214		Bratislava
Lipnicová	Lipnicová	821 07	Bratislava 214	Bratislava 214		Bratislava
Lipová	Lipová	811 02	Bratislava 1	Bratislava 1		Bratislava
Lipovinová	Lipovinová	831 02	Bratislava 3	Bratislava 3		Bratislava
Lipského	Lipského	841 01	Bratislava 42	Bratislava 42		Bratislava
Liptovská	Liptovská	821 09	Bratislava 2	Bratislava 2		Bratislava
Lisovňa	Lisovňa	831 06	Bratislava 35	Bratislava 35		Bratislava
Listová	Listová	821 05	Bratislava 2	Bratislava 2		Bratislava
Líščie nivy	Líščie nivy	821 08	Bratislava 2	Bratislava 2		Bratislava
Líščie údolie	Líščie údolie	841 04	Bratislava 4	Bratislava 4		Bratislava
Litovská	Litovská	841 04	Bratislava 4	Bratislava 4		Bratislava
Lodná	Lodná	811 02	Bratislava 1	Bratislava 1		Bratislava
Lombardiniho	Lombardiniho	831 03	Bratislava 3	Bratislava 3		Bratislava
Lomnická	Lomnická	841 10	Bratislava 49	Bratislava 49		Bratislava
Lomonosovova	Lomonosovova	811 09	Bratislava 1	Bratislava 1		Bratislava
Longobardská	Longobardská	851 10	Bratislava 59	Bratislava 59		Bratislava
Lónyaiova	Lónyaiova	851 10	Bratislava 59	Bratislava 59	1,2,3,4,5,6,7,8,9,10,11,12,13	Bratislava
Lopárska	Lopárska	821 06	Bratislava 214	Bratislava 214	11	Bratislava
Lopenícka	Lopenícka	831 02	Bratislava 3	Bratislava 3		Bratislava
Lopúchová	Lopúchová	831 01	Bratislava 37	Bratislava 37	7,9	Bratislava
Lotyšská	Lotyšská	821 06	Bratislava 214	Bratislava 214		Bratislava
Lovinského	Lovinského	811 04	Bratislava 1	Bratislava 1		Bratislava
Lozornianska	Lozornianska	841 06	Bratislava 48	Bratislava 48		Bratislava
Ľubietovská	Ľubietovská	851 01	Bratislava 5	Bratislava 5		Bratislava
Lubinská	Lubinská	811 03	Bratislava 1	Bratislava 1	3 až 34,15A,23A	Bratislava
Ľubľanská	Ľubľanská	831 02	Bratislava 3	Bratislava 3	1,2,4,6,8,10	Bratislava
Ľubochnianska	Ľubochnianska	831 04	Bratislava 3	Bratislava 3		Bratislava
Ľubovnianska	Ľubovnianska	851 07	Bratislava 5	Bratislava 5		Bratislava
Ľubovníková	Ľubovníková	841 07	Bratislava 49	Bratislava 49		Bratislava
Lúčna	Lúčna	821 05	Bratislava 2	Bratislava 2		Bratislava
Ľuda Zúbka	Ľuda Zúbka	841 01	Bratislava 42	Bratislava 42		Bratislava
Ľudmily Kraskovskej	Ľudmily Kraskovskej	851 10	Bratislava 59	Bratislava 59	1	Bratislava
Ľudové námestie	Ľudové námestie	831 03	Bratislava 3	Bratislava 3		Bratislava
Ľudovíta Fullu	Ľudovíta Fullu	841 05	Bratislava 4	Bratislava 4		Bratislava
Ľudovíta Štúra	Ľudovíta Štúra				pozri Štúrova	Bratislava
Ludvíka Svobodu	Ludvíka Svobodu				pozri Nábrežie arm.gen.L. Svobodu	Bratislava
Luhačovická	Luhačovická	821 04	Bratislava 2	Bratislava 2		Bratislava
Lužická	Lužická	811 08	Bratislava 1	Bratislava 1		Bratislava
Lužná	Lužná	851 04	Bratislava 5	Bratislava 5		Bratislava
Lýcejná	Lýcejná	811 03	Bratislava 1	Bratislava 1		Bratislava
Lykovcová	Lykovcová	841 04	Bratislava 4	Bratislava 4		Bratislava
Lysákova	Lysákova	841 01	Bratislava 42	Bratislava 42		Bratislava
M. Hella	M. Hella				pozri Maximiliána Hella	Bratislava
M. Schneidera Trnavského	M. Schneidera Trnavského	841 01	Bratislava 42	Bratislava 42	2,4	Bratislava
M. Schneidera Trnavského	M. Schneidera Trnavského	841 01	Bratislava 42	Bratislava 42	1,3,5,1F	Bratislava
M. Schneidera Trnavského	M. Schneidera Trnavského	841 01	Bratislava 42	Bratislava 42	14,18,20,22	Bratislava
M. Schneidera Trnavského	M. Schneidera Trnavského	841 01	Bratislava 42	Bratislava 42	2A,2B,2C	Bratislava
M. Schneidera Trnavského	M. Schneidera Trnavského	841 01	Bratislava 42	Bratislava 42	6,8,10,12,6A	Bratislava
M. Schneidera Trnavského	M. Schneidera Trnavského	841 01	Bratislava 42	Bratislava 42	7,9,11,13,15,17,19	Bratislava
Madáchova	Madáchova	821 06	Bratislava 214	Bratislava 214		Bratislava
Maďarská	Maďarská	851 10	Bratislava 59	Bratislava 59		Bratislava
Magnetová	Magnetová	831 04	Bratislava 3	Bratislava 3		Bratislava
Magnezitová	Magnezitová	841 07	Bratislava 49	Bratislava 49		Bratislava
Magnóliová	Magnóliová	821 07	Bratislava 214	Bratislava 214	1	Bratislava
Magurská	Magurská	831 01	Bratislava 37	Bratislava 37		Bratislava
Macharova	Macharova	851 01	Bratislava 5	Bratislava 5		Bratislava
Máchova	Máchova	821 06	Bratislava 214	Bratislava 214		Bratislava
Majakovského	Majakovského	811 04	Bratislava 1	Bratislava 1		Bratislava
Majerníkova	Majerníkova	841 05	Bratislava 4	Bratislava 4		Bratislava
Majerova	Majerova				pozri Štefana Majera	Bratislava
Majerská	Majerská	821 07	Bratislava 214	Bratislava 214		Bratislava
Májkova	Májkova	811 07	Bratislava 1	Bratislava 1		Bratislava
Majoránová	Majoránová	821 07	Bratislava 214	Bratislava 214		Bratislava
Májová	Májová	851 01	Bratislava 5	Bratislava 5		Bratislava
Maková	Maková	821 07	Bratislava 214	Bratislava 214		Bratislava
Makovického	Makovického	831 03	Bratislava 3	Bratislava 3		Bratislava
Malá	Malá	811 02	Bratislava 1	Bratislava 1		Bratislava
Malagová	Malagová	831 52	Bratislava 35	Bratislava 35		Bratislava
Malé pálenisko	Malé pálenisko	821 05	Bratislava 2	Bratislava 2		Bratislava
Malinová	Malinová	811 04	Bratislava 1	Bratislava 1		Bratislava
Malodunajská	Malodunajská	821 07	Bratislava 214	Bratislava 214		Bratislava
Malokarpatské námestie	Malokarpatské námest	841 03	Bratislava 42	Bratislava 42		Bratislava
Málová	Málová	841 06	Bratislava 48	Bratislava 48		Bratislava
Malý Draždiak	Malý Draždiak	850 00	Bratislava 5	Bratislava 5		Bratislava
Malý trh	Malý trh	811 08	Bratislava 1	Bratislava 1		Bratislava
Mamateyova	Mamateyova	851 04	Bratislava 5	Bratislava 5	"nepár.č. 1-15; pár.č.4-12, 34, 2665"	Bratislava
Mamateyova	Mamateyova	851 03	Bratislava 5	Bratislava 5	pár.č. 14-32	Bratislava
Mandľová	Mandľová	851 10	Bratislava 59	Bratislava 59		Bratislava
Mandľovníková	Mandľovníková	831 01	Bratislava 37	Bratislava 37		Bratislava
Mánesovo námestie	Mánesovo námestie	851 01	Bratislava 5	Bratislava 5		Bratislava
Marečkova	Marečkova				pozri Milana Marečka	Bratislava
Margarétová	Margarétová	821 07	Bratislava 214	Bratislava 214	6,10,11,13,14,15,16,17,18,19,23,25,30	Bratislava
Marhuľová	Marhuľová	821 07	Bratislava 214	Bratislava 214		Bratislava
Mariánska	Mariánska	811 08	Bratislava 1	Bratislava 1		Bratislava
Marie Curie-Sklodowskej	Marie Curie-Sklodows	851 04	Bratislava 5	Bratislava 5		Bratislava
Markova	Markova	851 01	Bratislava 5	Bratislava 5		Bratislava
Marótyho	Marótyho	811 06	Bratislava 1	Bratislava 1		Bratislava
Martákovej	Martákovej	821 03	Bratislava 2	Bratislava 2		Bratislava
Martina Benku	Martina Benku				pozri Námestie Martina Benku	Bratislava
Martina Čulena	Martina Čulena				pozri Čulenova	Bratislava
Martina Granca	Martina Granca	841 02	Bratislava 42	Bratislava 42		Bratislava
Martinčekova	Martinčekova	821 01	Bratislava 2	Bratislava 2	"nepár.č. 1-19, 33; čísla 30, 32"	Bratislava
Martinčekova	Martinčekova	821 09	Bratislava 2	Bratislava 2	pár. č. 2-28, č. 25	Bratislava
Martinengova	Martinengova	811 02	Bratislava 1	Bratislava 1		Bratislava
Martinská	Martinská	821 05	Bratislava 2	Bratislava 2		Bratislava
Mateja Bela	Mateja Bela	811 06	Bratislava 1	Bratislava 1		Bratislava
Matejkova	Matejkova	841 05	Bratislava 4	Bratislava 4		Bratislava
Matičná	Matičná	831 03	Bratislava 3	Bratislava 3		Bratislava
Matúškova	Matúškova	831 01	Bratislava 37	Bratislava 37		Bratislava
Matúšova	Matúšova	811 04	Bratislava 1	Bratislava 1		Bratislava
Maximiliána Hella	Maximiliána Hella	821 02	Bratislava 2	Bratislava 2		Bratislava
Mätová	Mätová	821 07	Bratislava 214	Bratislava 214		Bratislava
Mečíková	Mečíková	841 07	Bratislava 49	Bratislava 49	1 až 61	Bratislava
Medená	Medená	811 02	Bratislava 1	Bratislava 1		Bratislava
Medová	Medová	841 10	Bratislava 49	Bratislava 49		Bratislava
Medovková	Medovková	821 07	Bratislava 214	Bratislava 214		Bratislava
Medveďovej	Medveďovej	851 04	Bratislava 5	Bratislava 5		Bratislava
Medzierka	Medzierka	811 01	Bratislava 1	Bratislava 1		Bratislava
Medzilaborecká	Medzilaborecká	821 01	Bratislava 2	Bratislava 2		Bratislava
Meličkovej	Meličkovej				pozri Hany Meličkovej	Bratislava
Merlotová	Merlotová	831 02	Bratislava 3	Bratislava 3		Bratislava
Mesačná	Mesačná	821 02	Bratislava 2	Bratislava 2		Bratislava
Mestská	Mestská	831 03	Bratislava 3	Bratislava 3		Bratislava
Meteorová	Meteorová	821 02	Bratislava 2	Bratislava 2		Bratislava
Metodova	Metodova	821 08	Bratislava 2	Bratislava 2		Bratislava
Mickiewiczova	Mickiewiczova	811 07	Bratislava 1	Bratislava 1		Bratislava
Mierová	Mierová	821 05	Bratislava 2	Bratislava 2		Bratislava
Michalská	Michalská	811 03	Bratislava 1	Bratislava 1		Bratislava
Mikovíniho	Mikovíniho	831 02	Bratislava 3	Bratislava 3		Bratislava
Mikuláša Schneidera-Trnavského	Schneidera -Trnavského	841 01	Bratislava 42	Bratislava 42		Bratislava
Mikulášska	Mikulášska	811 01	Bratislava 1	Bratislava 1		Bratislava
Milana Marečka	Milana Marečka	841 08	Bratislava 49	Bratislava 49		Bratislava
Milana Pišúta	Milana Pišúta	841 07	Bratislava 49	Bratislava 49		Bratislava
Miletičova	Miletičova	821 09	Bratislava 2	Bratislava 2	"nepár. č. 21-71; pár. č. 62-90"	Bratislava
Miletičova	Miletičova	821 08	Bratislava 2	Bratislava 2	"nepár.č. 1-19; pár.č. 10-60, 58/B, 3/A"	Bratislava
Mínešská	Mínešská	851 10	Bratislava 59	Bratislava 59		Bratislava
Mišíkova	Mišíkova	811 04	Bratislava 1	Bratislava 1	"nepár.č.1-27, 27/A, 29, 41, 43;"	Bratislava
Mišíkova	Mišíkova	811 06	Bratislava 1	Bratislava 1	"pár.č. 30-38; čísla 11/A,31,45"	Bratislava
Mišíkova	Mišíkova	811 04	Bratislava 1	Bratislava 1	pár.č.6, 10-28, 10/A, 20/A,B, 28/A,B,C,D	Bratislava
Mládežnícka	Mládežnícka	841 10	Bratislava 49	Bratislava 49		Bratislava
Mliekárenská	Mliekárenská	821 09	Bratislava 2	Bratislava 2		Bratislava
Mlynarovičova	Mlynarovičova	851 03	Bratislava 5	Bratislava 5		Bratislava
Mlynská	Mlynská	841 07	Bratislava 49	Bratislava 49		Bratislava
Mlynská dolina	Mlynská dolina	811 04	Bratislava 1	Bratislava 1	čísla 1, 9, 11	Bratislava
Mlynská dolina	Mlynská dolina	811 02	Bratislava 1	Bratislava 1	nepár. č. 33-51, 23	Bratislava
Mlynská dolina	Mlynská dolina	841 04	Bratislava 4	Bratislava 4	nepár.č. 3-7	Bratislava
Mlynské luhy	Mlynské luhy	821 05	Bratislava 2	Bratislava 2	č. 77	Bratislava
Mlynské nivy	Mlynské nivy	811 09	Bratislava 1	Bratislava 1	"čísla 1, 3; pár.č. 2-8"	Bratislava
Mlynské nivy	Mlynské nivy	821 09	Bratislava 2	Bratislava 2	"nepár.č. 1/VÚB, 7-41,45,47,48,51,59;"	Bratislava
Mlynské nivy	Mlynské nivy	821 05	Bratislava 2	Bratislava 2	"nepár.č. 61, 61/A, 63, 69-73, 73/A;"	Bratislava
Mlynské nivy	Mlynské nivy	821 09	Bratislava 2	Bratislava 2	pár.č.10-54	Bratislava
Mlynské nivy	Mlynské nivy	821 05	Bratislava 2	Bratislava 2	pár.č.56-70, 74	Bratislava
Mlyny	Mlyny	841 04	Bratislava 4	Bratislava 4		Bratislava
Modranská	Modranská	831 02	Bratislava 3	Bratislava 3		Bratislava
Modricová	Modricová	821 07	Bratislava 214	Bratislava 214		Bratislava
Modrý chodník	Modrý chodník	831 06	Bratislava 35	Bratislava 35		Bratislava
Mojmírova	Mojmírova	821 08	Bratislava 2	Bratislava 2		Bratislava
Mokráň záhon	Mokráň záhon	821 04	Bratislava 2	Bratislava 2		Bratislava
Mokrohájska cesta	Mokrohájska cesta	841 04	Bratislava 4	Bratislava 4		Bratislava
Moldavská	Moldavská	821 03	Bratislava 2	Bratislava 2		Bratislava
Molecova	Molecova	841 04	Bratislava 4	Bratislava 4		Bratislava
Monardová	Monardová	821 06	Bratislava 214	Bratislava 214		Bratislava
Morava	Morava	841 07	Bratislava 49	Bratislava 49		Bratislava
Moravská	Moravská	831 03	Bratislava 3	Bratislava 3		Bratislava
Morušová	Morušová	851 10	Bratislava 59	Bratislava 59		Bratislava
Moskovská	Moskovská	811 08	Bratislava 1	Bratislava 1		Bratislava
Most SNP	Most SNP	851 01	Bratislava 5	Bratislava 5	reštaurácia	Bratislava
Mostná	Mostná	821 07	Bratislava 214	Bratislava 214		Bratislava
Mostová	Mostová	811 02	Bratislava 1	Bratislava 1		Bratislava
Mošovského	Mošovského	811 03	Bratislava 1	Bratislava 1		Bratislava
Motýlia	Motýlia	821 05	Bratislava 2	Bratislava 2		Bratislava
Moyšova	Moyšova	841 02	Bratislava 42	Bratislava 42		Bratislava
Moyzesova	Moyzesova	811 05	Bratislava 1	Bratislava 1		Bratislava
Mozartova	Mozartova	811 02	Bratislava 1	Bratislava 1		Bratislava
Mramorová	Mramorová	821 06	Bratislava 214	Bratislava 214		Bratislava
Mraziarenská	Mraziarenská	821 08	Bratislava 2	Bratislava 2		Bratislava
Mrázova	Mrázova				pozri Andreja Mráza	Bratislava
Mrázová	Mrázová	831 06	Bratislava 35	Bratislava 35	1-19,21	Bratislava
Mudrochova	Mudrochova	831 06	Bratislava 35	Bratislava 35		Bratislava
Mudroňova	Mudroňova	811 04	Bratislava 1	Bratislava 1	nepár. č. 93-101, 101/A,B	Bratislava
Mudroňova	Mudroňova	811 01	Bratislava 1	Bratislava 1	"nepár.č. 3-45; pár.č. 8-44,10/A,11/A"	Bratislava
Mudroňova	Mudroňova	811 03	Bratislava 1	Bratislava 1	"nepár.č. 47-89, 85/A; pár.č. 4,6,46-92,64/A"	Bratislava
Muchovo námestie	Muchovo námestie	851 01	Bratislava 5	Bratislava 5		Bratislava
Muránska	Muránska	841 10	Bratislava 49	Bratislava 49		Bratislava
Murgašova	Murgašova	811 04	Bratislava 1	Bratislava 1		Bratislava
Murnice	Murnice	840 09	Bratislava 49	Bratislava 49		Bratislava
Muškátová	Muškátová	821 01	Bratislava 2	Bratislava 2		Bratislava
Muštová	Muštová	831 02	Bratislava 3	Bratislava 3		Bratislava
Múzejná	Múzejná	811 02	Bratislava 1	Bratislava 1		Bratislava
Myjavská	Myjavská	811 03	Bratislava 1	Bratislava 1		Bratislava
Mýtna	Mýtna	811 05	Bratislava 1	Bratislava 1	číslo 39	Bratislava
Mýtna	Mýtna	811 07	Bratislava 1	Bratislava 1	"nepár.č. 1-37; pár. č. 28-44"	Bratislava
Na Baránku	Na Baránku	811 04	Bratislava 1	Bratislava 1		Bratislava
Na barine	Na barine	841 03	Bratislava 42	Bratislava 42		Bratislava
Na Brezinách	Na Brezinách	811 05	Bratislava 1	Bratislava 1		Bratislava
Na doline	Na doline	831 07	Bratislava 36	Bratislava 36		Bratislava
Na grbe	Na grbe	841 07	Bratislava 49	Bratislava 49		Bratislava
Na Grunte	Na Grunte	831 52	Bratislava 35	Bratislava 35		Bratislava
Na Holom vrchu	Na Holom vrchu	841 06	Bratislava 48	Bratislava 48		Bratislava
Na hrádzi	Na hrádzi	851 10	Bratislava 59	Bratislava 59		Bratislava
Na Hrebienku	Na Hrebienku	811 02	Bratislava 1	Bratislava 1		Bratislava
Na hriadkach	Na hriadkach	841 07	Bratislava 49	Bratislava 49		Bratislava
Na jarku	Na jarku	831 07	Bratislava 36	Bratislava 36		Bratislava
Na Kalvárii	Na Kalvárii	811 04	Bratislava 1	Bratislava 1		Bratislava
Na Kampárke	Na Kampárke	841 04	Bratislava 4	Bratislava 4		Bratislava
Na kaštieli	Na kaštieli	841 07	Bratislava 49	Bratislava 49		Bratislava
Na kopci	Na kopci	811 02	Bratislava 1	Bratislava 1		Bratislava
Na Koziarke	Na Koziarke	830 00	Bratislava 3	Bratislava 3		Bratislava
Na Krčoch	Na Krčoch	841 06	Bratislava 48	Bratislava 48		Bratislava
Na križovatkách	Na križovatkách	821 04	Bratislava 2	Bratislava 2		Bratislava
Na lánoch	Na lánoch	821 04	Bratislava 2	Bratislava 2		Bratislava
Na medzi	Na medzi	831 06	Bratislava 35	Bratislava 35		Bratislava
Na mýte	Na mýte	841 07	Bratislava 49	Bratislava 49		Bratislava
Na pántoch	Na pántoch	831 06	Bratislava 35	Bratislava 35		Bratislava
Na pasekách	Na pasekách	831 06	Bratislava 35	Bratislava 35		Bratislava
Na paši	Na paši	821 02	Bratislava 2	Bratislava 2		Bratislava
Na pažiti	Na pažiti	831 01	Bratislava 37	Bratislava 37		Bratislava
Na piesku	Na piesku	821 05	Bratislava 2	Bratislava 2		Bratislava
Na Revíne	Na Revíne	831 01	Bratislava 37	Bratislava 37		Bratislava
Na Riviére	Na Riviére	841 04	Bratislava 4	Bratislava 4		Bratislava
Na rozhliadke	Na rozhliadke	831 01	Bratislava 37	Bratislava 37		Bratislava
Na Sitine	Na Sitine	841 04	Bratislava 4	Bratislava 4		Bratislava
Na skale	Na skale	841 07	Bratislava 49	Bratislava 49		Bratislava
Na Slanci	Na Slanci	831 52	Bratislava 35	Bratislava 35		Bratislava
Na Slavíne	Na Slavíne	811 06	Bratislava 1	Bratislava 1		Bratislava
Na spojke	Na spojke	831 01	Bratislava 37	Bratislava 37		Bratislava
Na stráni	Na stráni	811 04	Bratislava 1	Bratislava 1		Bratislava
Na Štyridsiatku	Na Štyridsiatku	811 06	Bratislava 1	Bratislava 1		Bratislava
Na úvrati	Na úvrati	821 04	Bratislava 2	Bratislava 2		Bratislava
Na varte	Na varte	831 01	Bratislava 37	Bratislava 37		Bratislava
Na Vlkovkách	Na Vlkovkách	841 06	Bratislava 48	Bratislava 48		Bratislava
Na vrátkach	Na vrátkach	841 01	Bratislava 42	Bratislava 42		Bratislava
Na vŕšku	Na vŕšku	811 01	Bratislava 1	Bratislava 1		Bratislava
Na vyhliadke	Na vyhliadke	841 07	Bratislava 49	Bratislava 49		Bratislava
Na výslní	Na výslní	821 05	Bratislava 2	Bratislava 2		Bratislava
Na Zlatej nohe	Na Zlatej nohe	831 01	Bratislava 37	Bratislava 37		Bratislava
Nábělkova	Nábělkova	841 05	Bratislava 4	Bratislava 4		Bratislava
Nábrežie arm. gen. Ludvíka Svobodu	Nábrežie arm. gen. L.Svobodu	811 02	Bratislava 1	Bratislava 1		Bratislava
Nábrežie Dvořákovo	Nábrežie Dvořákovo				pozri Dvořákovo nábrežie	Bratislava
Nábrežie Fajnorovo	Nábrežie Fajnorovo				pozri Fajnorovo nábrežie	Bratislava
Nábrežie Milana Rastislava Štefánika	Nábrežie M. R. Štefánika	811 09	Bratislava 1	Bratislava 1		Bratislava
Nábrežie Rázusovo	Nábrežie Rázusovo				pozri Rázusovo nábrežie	Bratislava
Nábrežie Slovanské	Nábrežie Slovanské				pozri Slovanské nábrežie	Bratislava
Nábrežie Tyršovo	Nábrežie Tyršovo				pozri Tyršovo nábrežie	Bratislava
Nábrežie Vajanského	Nábrežie Vajanského				pozri Vajanského nábrežie	Bratislava
Nábrežná	Nábrežná	851 01	Bratislava 5	Bratislava 5		Bratislava
Nad Dunajom	Nad Dunajom	841 04	Bratislava 4	Bratislava 4		Bratislava
Nad Gronárom	Nad Gronárom	841 10	Bratislava 49	Bratislava 49		Bratislava
Nad jazierkom	Nad jazierkom	831 07	Bratislava 36	Bratislava 36		Bratislava
Nad kúriou	Nad kúriou	831 06	Bratislava 35	Bratislava 35		Bratislava
Nad lomom	Nad lomom	811 02	Bratislava 1	Bratislava 1		Bratislava
Nad lúčkami	Nad lúčkami	841 04	Bratislava 4	Bratislava 4	"č. 1-21;2,4"	Bratislava
Nad lúčkami	Nad lúčkami	841 05	Bratislava 4	Bratislava 4	"nepár.č. 27-55; 16"	Bratislava
Nad ostrovom	Nad ostrovom	841 04	Bratislava 4	Bratislava 4		Bratislava
Nad Sihoťou	Nad Sihoťou	841 04	Bratislava 4	Bratislava 4		Bratislava
Nad Válkom	Nad Válkom	831 07	Bratislava 36	Bratislava 36		Bratislava
Nákovná	Nákovná	821 06	Bratislava 214	Bratislava 214		Bratislava
Nákupná	Nákupná	821 06	Bratislava 214	Bratislava 214		Bratislava
Námestie 1. mája	Nám. 1.mája	811 06	Bratislava 1	Bratislava 1		Bratislava
Námestie 6. apríla	Námestie 6. apríla	841 07	Bratislava 49	Bratislava 49		Bratislava
Námestie Alexandra Dubčeka	Námestie Alexandra Dubčeka	811 01	Bratislava 1	Bratislava 1		Bratislava
Námestie Americké	Námestie Americké				pozri Americké námestie	Bratislava
Námestie Andreja Hlinku	Námestie Adreja Hlinku	831 06	Bratislava 35	Bratislava 35	1,2,3,4,5,6,6126/7	Bratislava
Námestie Biely kríž	Námestie Biely kríž	831 02	Bratislava 3	Bratislava 3		Bratislava
Námestie Daliborovo	Námestie Daliborovo				pozri Daliborovo námestie	Bratislava
Námestie Daxnerovo	Námestie Daxnerovo				pozri Daxnerovo námestie	Bratislava
Námestie Dulovo	Námestie Dulovo				pozri Dulovo námestie	Bratislava
Námestie E.Suchoňa	Námestie E.Suchoňa				pozri Námestie Eugena Suchoňa	Bratislava
Námestie Eugena Suchoňa	Námestie Eugena Suchoňa	811 02	Bratislava 1	Bratislava 1	2,3,4	Bratislava
Námestie Floriánske	Námestie Floriánske				pozri Floriánske námestie	Bratislava
