kraj	okres	obec	ulica	cislo	psc	posta	predvolba	telefon	fax	web	email	starosta	primator	prednosta	ico	pocetobyvatelov	rozloha	ppz	mobil	urad
Banskobystrický	Rimavská Sobota	Potok	Potok	36	982 67	Rovné	047	549 23 54			pervanjan@gmail.com	Martin Kurek			00649902	49	891	1323		Obecný úrad
Košický	Rožňava	Rozložná		81	049 32	Štítnik	058	793 14 38	793 14 38		obecrozlozna@mail.telekom.sk	Viktor Vápeník 			00328740	195	1259	1241	0915 951 419	Obecný úrad
Prešovský	Sabinov	Daletice			082 63	Jarovnice	051	459 42 13				Daniel Ščavnický			00690546	92	248	1320		Obecný úrad
Bratislavský	Senec	Nový Svet	Nový Svet	24	903 01	Senec	02	4590 16 55	4590 16 55		dusanseben@gmail.com	Ing. Dušan Šebeň			37998447	71	774	1871	0904 220 018	Obecný úrad
Košický	Sobrance	Kolibabovce		49	072 61	Porúbka pri Sobranciach	056	659 32 73				Mária Pokrivňáková			00325317	177	382	1567	0915 901 565	Obecný úrad
Košický	Sobrance	Petrovce	Petrovce	2	072 62	Koromľa	056	659 32 75	659 32 75		ocuhuta@lekosonline.sk	Pavel Tomčo			00325601	226	1648	1571	0905 208 707	Obecný úrad
Prešovský	Stropkov	Breznička		35	091 01 	Stropkov	054	742 23 79  			obecbreznicka@gmail.com	Monika Leľová			00330337	115	584	1430		Obecný úrad
Prešovský	Stropkov	Bystrá		14	090 23 	Havaj	054	749 52 03				Božena Korečková			00330361	27	301	1405		Obecný úrad
Prešovský	Stropkov	Jakušovce			090 31 	Kolbovce	054	749 91 19  				Ján Smetanka			00330515	45	550	1454		Obecný úrad
Prešovský	Stropkov	Korunková		22	090 31 	Kolbovce	054	742 23 94  	742 47 51 			Mária Dudiňaková			00330574	81	1121	1408		Obecný úrad
Prešovský	Stropkov	Kožuchovce			090 22 	Bukovce	054	749 32 11  			ivan.zajac@azet.sk	Ivan Zajac			00330582	73	615	1618		Obecný úrad
Prešovský	Stropkov	Mrázovce		20	090 34 	Tokajík	054	749 41 87		www.mrazovce.sk		Ľuboš Sabol			00330779	89	465	1408		Obecný úrad
Prešovský	Stropkov	Potôčky			091 01 	Stropkov	054	742 23 87  				Dušan Šmajda			00695866	63	356	1567		Obecný úrad
Prešovský	Stropkov	Potoky		36	091 01	Stropkov	054	742 23 95, 718 17 71,72				Milan Vavrek			00330884	87	558	1551		Obecný úrad
Prešovský	Stropkov	Soľník		28	090 31 	Kolbovce	054	742 23 86  				Ľubomír Karaman			00330973	42	440	1454		Obecný úrad
Prešovský	Stropkov	Vladiča		16	090 23 	Havaj	054	749 34 20 			obecvladica@gmail.com	Ján Čurpek			00331171	63	2705	1340		Obecný úrad
Prešovský	Svidník	Dubová		12	090 14	Dubová	054	756 52 03			obec.dubova@gmail.com	Miloš Vanušanik			00330426	222	1255	1355	0904 162 898	Obecný úrad
Prešovský	Svidník	Kobylnice		19	087 01 	Giraltovce	054	732 23 73  			kobylnice@thelocalchannel.co.uk	František Vojček			00322121	94	1042	1363	0905 837 671	Obecný úrad
Prešovský	Svidník	Miroľa			090 05 	Krajná Poľana	054	759 33 47				Michal Kurečko			00330761	75	611	1572		Obecný úrad
Prešovský	Svidník	Nová Polianka			089 01 	Svidník	054	752 11 89  				Ján Barvirčák			00330850	70	547	1414		Obecný úrad
Prešovský	Svidník	Vápeník			090 02 	Kružlová	054	759 42 36  		www.obecvapenik.webnode.sk	pajkos.pe@gmail.com, peter_pajkos@centrum.sk	Jaroslav Krajkovič			00331139	40	377	1600		Obecný úrad
Žilinský	Turčianske Teplice	Borcová	Borcová	45	038 44	Jazernica	043	494 72 38			obec.borcova@gmail.com	Bc. Marcela Pavlásková			00648043	127	209	1302	0911 248 884	Obecný úrad
Žilinský	Turčianske Teplice	Ivančiná	Ivančiná	35	038 45	Malý Čepčín	043	496 21 32 			ivancina@post.sk	Róbert Kleskeň			00316709	97	354	1248		Obecný úrad
Banskobystrický	Veľký Krtíš	Brusník	Brusník	45	991 01	Senné	047	489 81 29				Zuzana Mališová			00649392	109	776	1327	0904 277 833	Obecný úrad
Banskobystrický	Veľký Krtíš	Opava	Opava	131	991 25	Čebovce	047	489 52 83			obecnyurad26@zoznam.sk	Ján Krnáč			00649180	131	1176	1342	0948366568	Obecný úrad
Banskobystrický	Veľký Krtíš	Pravica	Pravica	32	991 21	Závada	047	487 72 27				Pavel Lenhárd			00651842	117	909	1271		Obecný úrad
Banskobystrický	Veľký Krtíš	Zombor	Zombor	65	991 22	Bušince	047	487 11 38			obeczombor1@gmail.com	Marian Galo			00648655	146	329	1327		Obecný úrad
Banskobystrický	Veľký Krtíš	Širákov	Širákov	156	991 27	Kamenné Kosihy	047	488 41 10			sirakov.obec@gmail.com	Tibor Dímik			00647594	215	711	1303		Obecný úrad
Banskobystrický	Veľký Krtíš	Šuľa	Šuľa	53	991 01	Senné	047	489 81 39				Miroslav Vozaf			00650676	76	1124	1460		Obecný úrad
Prešovský	Vranov nad Topľou	Ruská Voľa		1	094 31	Hanušovce nad Topľou	057	445 22 74			ruskavola@zoznam.sk	Anna Chamajová			00332798	78	618	1357	0911 685 408	Obecný úrad
Trenčiansky	Bánovce nad Bebravou	Cimenná	Cimenná	33	956 37 	Zlatníky	038	769 52 54,769 52 91	763 52 44		0918425791@orangemail.sk	Peter Vanek			00699136	93	360	1484	0905 709 890	Obecný úrad
Prešovský	Kežmarok	Abrahámovce		56	059 72	Vrbov	052	459 04 34 		"www.abrahamovce.ocu.sk;www.abrahamovce.sk"	abrahamovce@aminet.sk 	Mgr. Miloš Pitko 			00326101	248	665	1286	0907 958 082,0915 939 576	Obecný úrad
Trnavský	Dunajská Streda	Veľká Paka	Veľká Paka	189	930 51	Veľká Paka	031	558 67 01,558 67 05	558 67 01	www.velkapaka.sk	"alexander.hunka@velkapaka.sk;referent@velkapaka.sk;matrika-uctovnictvo@velkapaka.sk "	Ivan Seňan			00305791	894	1835	1205	0905 449 781	Obecný úrad
Trnavský	Dunajská Streda	Dolný Štál	M. Korvína 	676	930 10	Dolný Štál	031	590 27 40,41,42,43,44	590 27 45,559 02 33	www.alistal.sk	alistal1@alistal.sk	Tomáš Horváth			00305430	1898	2999	1254	0903 415 610,0918 503 991	Obecný úrad
Nitriansky	Komárno	Zlatná na Ostrove	Školská 	184	946 12 	Zlatná na Ostrove 	035	778 11 68,69	778 11 40	www.zlatnanaostrove.webs.com	aranyoskh@stonline.sk	Ing. Eva Varjúová  			00306738	2421	3531	1267	0908 784 349	Obecný úrad
Košický	Spišská Nová Ves	Arnutovce		64	053 13	Letanovce	053	449 11 24	449 11 24	www.arnutovce.ocu.sk	arnutovce@gmail.com	Elena Šarišská			00328928	711	223	1317	0907 976 462	Obecný úrad
Banskobystrický	Rimavská Sobota	Babinec	Babinec		980 26	Lukovištia	047			www.babinec.info	"babinec2010@gmail.com;ocu@babinec.info"	Bc. Jaroslav Benda			00649678	68	491	1407	0903 550 892	Obecný úrad
Banskobystrický	Banská Bystrica	Badín	Sládkovičova	4	976 32	Badín	048	418 26 01,418 20 92	418 26 84	www.obecbadin.sk	badin@obecbadin.sk	Pavol Hric			00313262	1858	3438	1232	0905 499 323	Obecný úrad
Bratislavský	Bratislava 3	Bratislava - Nové Mesto - Mestská časť	Junácka	1	832 91	Bratislava 3	02	4925 3111	4425 8840 	www.banm.sk	"banovemesto@stonline.sk;sekretariat@banm.sk"	Mgr. Rudolf Kusý		Ing. Ľudovít Kollárik	00603317	36526	3748	1279		Miestny úrad
Prešovský	Humenné	Baškovce		37	067 23	Baškovce	057	788 02 36	788 02 36	www.baskovce.ocu.sk	baskovce@stonline.sk	František Bazar			00322806	408	662	1410	0915 960 615	Obecný úrad
Banskobystrický	Veľký Krtíš	Bátorová	Bátorová	88	991 26	Nenince	047	451 40 93, 94	451 40 95	www.batorova.sk	"batorova@gmail.com;starosta@batorova.sk;info@batorova.sk;sekretariat@batorova.sk"	Daniela Lichvárová			00649333	367	594	1478	0918 477 049	Obecný úrad
Nitriansky	Komárno	Bátorove Kosihy	Bátorove Kosihy	873	946 34	Bátorové Kosihy	035	761 17 20,21,22,30,31	761 17 20	www.batorovekosihy.sk	"batorovekosihy@batorovekosihy.sk;starosta@batorovekosihy.sk"	Mgr. Roland Labancz			00306711	3427	4588,5	1156	0905 625 600	Obecný úrad
Prešovský	Bardejov	Becherov		135	086 35	Becherov	054	479 83 16	479 83 16	www.becherov.host.sk	becherov@pobox.sk	Jozef Gmiterko			00321869	260	1909	1414	0948 377 080	Obecný úrad
Trenčiansky	Nové Mesto nad Váhom	Beckov	Beckov	180	916 38	Beckov	032	777 71 25 ,774 27 20	774 27 26	www.obec-beckov.sk	"beckov@obec-beckov.sk;starosta@obec-beckov.sk"	Ing. Ján Križan  			00311413	1349	2863	1208 	0915 736 779,0905 506 021	Obecný úrad
Nitriansky	Zlaté Moravce	Beladice	Gaštanová	167	951 75	Beladice	037	633 02 92	633 02 27	www.obecbeladice.szm.sk	beladice1@stonline.sk	Miroslav Lisý			00307769	1583	2241	1156	0905 288 513	Obecný úrad
Prešovský	Bardejov	Beloveža	Beloveža	94	086 14	Hažlín	054	479 72 02	488 49 12	www.beloveza.eu	beloveza@gmail.com	Peter Mikula			00321877	839	1015	1355	0905 930 433	Obecný úrad
Trenčiansky	Púchov	Beluša	Farská	1045/6	018 61	Beluša	042	462 46 00,735,820	462 48 20	www.belusa.sk	"belusa@isternet.sk;sekretariat@belusa.sk;prednosta@belusa.sk"	Ján Prekop		Mgr. Zdena Hyžáková 	00317063	5828	5134	1330	0903 896 641,0903 405 410,0903 266 574 	Obecný úrad
Žilinský	Námestovo	Beňadovo	Beňadovo	66	029 63	Mútne	043	559 81 30	559 81 17	www.benadovo.eu	benadovo@gmail.com 	Jaroslav Pepucha			00314391	784	670	1663	0918 631 982	Obecný úrad
Košický	Sobrance	Beňatina		10	072 64	Podhoroď	056	658 25 06	658 25 06	www.benatina.ocu.sk	benatina@lekosonline.sk	Štefan Minčák			00325023	209	1864	1333	0905 633 647	Obecný úrad
Žilinský	Ružomberok	Bešeňová	Jánska	25	034 83	Liptovská Teplá	044	439 24 41	439 24 41	www.besenova.sk	"besenova@besenova.sk;starosta@besenova.sk"	Ing. Martin Baran			00315095	572	430	1503	0905 659 792	Obecný úrad
Nitriansky	Levice	Bielovce	Bielovce	98	935 74	Pastovce	036	772 03 80, 81,778 42 28	772 03 80		bielovce@mail.t-com.sk	Irena Skladanová			00587494	231	1138	1138	0903 239 394	Obecný úrad
Košický	Sobrance	Blatné Revištia		86	072 43	Veľké Revištia	056	659 72 20	659 72 20	www.blatnerevistia.ocu.sk	bl.revistia@minet.sk	Gabriel Seman			00325066	220	515	1244	0907 058 508	Obecný úrad
Košický	Sobrance	Blatná Polianka		94	072 44	Blatné Remety	056	659 72 03	659 72 03	www.blatnapolianka.sk	blatnapolianka@lekosonline.sk	Michal Kontra			00325040	160	999	1417	0907 978 428	Obecný úrad
Košický	Košice okolie	Blažice		53	044 16	Bohdanovce	055	694 11 06		www.blazice.ocu.sk	blazice@azet.sk	Juraj Gmitro			00690198	564	340	1245	0910 976 131	Obecný úrad
Žilinský	Liptovský Mikuláš	Bobrovec	Bobrovec	90	032 21 	Bobrovec	044	559 65 01, 559 66 01	559 65 01	www.bobrovec.eu	"bobrovec@bobrovec.eu;matrika@bobrovec.eu "	Ing. Ladislav Sedlák PhD.			00315117	1796	3113	1231	0905 831 645	Obecný úrad
Prešovský	Stropkov	Krušinec		67	091 01 	Stropkov	054	742 23 49		www.krusinec.sk	bochinviktor@gmail.com	Viktor Bochin			00330647	288	261	1543	0903 546 929	Obecný úrad
Košický	Trebišov	Zemplínske Hradište	Obecná	392	076 01	Zemplínske Hradište	056	672 73 23	672 73 23	www.zemplinskehradiste.sk	"bocianopolis@azet.sk;obec@zemplinskehradiste.sk"	Ján Oláh			00332208	1090	2016	1454	0907 977 290	Obecný úrad
Žilinský	Turčianske Teplice	Bodorová	Bodorová	59	038 45	Malý Čepčín	043	494 71 51			bodorova@gaya.sk	Ján Fábry			00648809	242	511	1265		Obecný úrad
Nitriansky	Komárno	Bodza	Bodza	108	946 16	Bodza	035	778 00 22	778 00 22		bodza@real-net.sk	Vojtech Antal			00306371	381	632	1387	0905 400 881	Obecný úrad
Nitriansky	Komárno	Bodzianske Lúky	Bodzianske Lúky	1	946 14	Zemianska Olča	035	778 04 90,773 80 06 	778 04 90	www.bodzianskeluky.ocu.sk	bodzianskeluky@gutanet.sk	Ing. Monika Aradi			00611298	201	517	1387	0903 786 491	Obecný úrad
Košický	Košice okolie	Bohdanovce		142	044 16	Bohdanovce	055	729 44 05	729 44 05	www.bohdanovce-ke.sk	bohdanovce@stonline.sk	Marta Gamrátová			00323985	1026	593	1299	0905 911 306	Obecný úrad
Trnavský	Dunajská Streda	Boheľov	Boheľov	12	929 01	Dunajská Streda	031	559 05 89	559 05 79	www.bohelov.sk	"bohelov@real-net.sk;sekretariat@bohelov.sk;info@bohelov.sk"	Mária Kázmérová			00305316	350	829	1456	0905 409 382	Obecný úrad
Banskobystrický	Lučenec	Boľkovce	Boľkovce	80	984 01	Lučenec	047	439 41 44	439 41 44	www.bolkovce.sk	bolkovce@slovanet.sk	Peter Kamenský			00315966	638	1099	1320	0905 270 589	Obecný úrad
Trenčiansky	Nové Mesto nad Váhom	Bošáca	Bošáca	257	913 07 	Bošáca 	032	778 11 29,778 12 25	778 12 25	www.bosaca.eu	"bosaca@bosaca.eu;daniel.juracek@bosaca.eu"	Mgr. Daniel Juráček			00311430	1384	1960	1380	0903 248 615 	Obecný úrad
Trenčiansky	Partizánske	Bošany	SNP	112	956 18	Bošany	038	542 72 25	542 72 97	www.bosany.sk	"bosany@bosany.sk;starosta@bosany.sk;prednosta@bosany.sk"	Mgr. Branislav Pajda		Aladár Korec	00310255	4151	1446	1183	0903 717 698	Obecný úrad
Banskobystrický	Rimavská Sobota	Bottovo	Bottovo	66	980 41	Dubovec	047	581 21 57-58			bottovo@zoznam.sk	Ing. Andrea Baláková			00318639	205	1079	1926	0911 581 215	Obecný úrad
Banskobystrický	Žarnovica	Brehy	Brehy	117	968 01	Nová Baňa	045	685 70 08	685 70 08	www.brehy.sk	brehy@brehy.sk	Ing. Juraj Tencer			35659599	1065	1237	1283	0905 417 540	Obecný úrad
Košický	Sobrance	Blatné Remety		26	072 44	Blatné Remety	056	659 72 35	659 72 35	www.blatneremety.sk	bremety@gmail.com	Vladimír Sliško			00325058	558	623	1340	0907 970 633, 0918 505 520	Obecný úrad
Prešovský	Prešov	Bretejovce		84	082 03	Lemešany	051	793 12 13		www.bretejovce.sk	bretejovce@centrum.sk	Rastislav Varga			00326852	364	437	1289	0905 383 818  	Obecný úrad
Žilinský	Námestovo	Breza	Grúnik	56	029 53	Breza	043	557 62 23,29	552 11 60	www.breza.sk	breza@orava.sk	Ing. Ladislav Matejčík			00314412	1566	2252	1580	0911 527 333	Obecný úrad
Košický	Trebišov	Brezina	Brezová	151	076 12	Kuzmice	056	679 12 32	668 59 50	www.brezina.ocu.sk	brezina@oubrezina.sk	Magdaléna Balogová			00331384	713	1296	1300	0917 873 568	Obecný úrad
Banskobystrický	Poltár	Breznička	Breznička	206	985 02	Breznička	047	411 18 67			breznicka1@stonline.sk	Mgr. Branislav Knechta			00315991	784	922	1279	 0911 794 180 	Obecný úrad
Trenčiansky	Bánovce nad Bebravou	Brezolupy	Brezolupy	63	957 01	Bánovce nad Bebravou 1	038	766 02 33,766 00 21 	766 02 33	www.obecbrezolupy.sk	"brezolupyocu@centrum.sk;brezolupyocu@pobox.sk"	Ing. Jarmila Hrúzová			00310263	500	634  	1323	0904 198 545	Obecný úrad
Prešovský	Sabinov	Brezovička		8	082 74	Brezovica nad Torysou	051	459 12 35	459 12 35	www.brezovicka.sk	brezovicka@livenet.sk	Peter Tomčufčík			00326879	423	898	1320	0907 531 791	Obecný úrad
Banskobystrický	Veľký Krtíš	Suché Brezovo	Suché Brezovo	66	991 03	Pôtor	047	489 86 09			brezovo@procomp.sk	Eva Pasiarová			00648311	113	1148	1573	0918 118 247	Obecný úrad
Trenčiansky	Považská Bystrica	Brvnište	Brvnište	390	018 12	Brvnište	042	439 32 74,426 21 57,58	426 21 58	www.brvniste.sk	"brvniste@brvniste.sk;starostka@brvniste.sk;ekonomka@brvniste.sk;dagmar.mikudikova@brvniste.sk;andrea.nemcikova@brvniste.sk;viera.jurdikova@brvniste.sk          "	Ing. Dagmar Mikudíková			00317101	1191	694	1598		Obecný úrad
Žilinský	Liptovský Mikuláš	Bukovina	Bukovina	56	032 23 	Liptovská Sielnica 	044	559 72 21 		www.obec-bukovina.sk	bukovina@citycom.sk 	JUDr. Pavol Debnár			00315141	116	190	1297		Obecný úrad
Banskobystrický	Lučenec	Bulhary	Bulhary	96	986 01	Fiľakovo	047	438 17 72		"http://bulhary.e-obce.sk;www.bulhary.ocu.sk"	bulhary@hotmail.com	Dezider Szakó			30233143	310	954	1435		Obecný úrad
Prešovský	Bardejov	Šarišské Čierne		81	086 37	Šarišské Čierne	054	479 83 20	479 83 20	www.obecsarisskecierne.sk	buvalicandrej@gmail.com	Andrej Buvalič			00322636	307	1401	1414	0905 532 649	Obecný úrad
Košický	Spišská Nová Ves	Bystrany		121	053 62	Bystrany	053	"449 53 38;449 51 98"	449 53 38	www.bystrany.ou.sk	bystrany121@gmail.com	František Žiga			00328995	3179	782	1268	0905 368 805	Obecný úrad
Žilinský	Martin	Bystrička	Bystrička	260	038 04	Bystrička	043	413 51 51	413 51 51	www.bystricka.sk	"bystricka@bystricka.sk;podatelna@bystricka.sk"	Zdenka Maršalová			00316601	1430	1912	1258	0905 442 622,0907 559 652	Obecný úrad
Banskobystrický	Žiar nad Hronom	Bzenica	Bzenica	74	966 01 	Hliník nad Hronom	045	676 91 96 	676 91 96	www.bzenica.sk	bzenica@slovanet.sk	Marek Kováč  			00320552	559	1904	1326	0908 930 569	Obecný úrad
Prešovský	Prešov	Bzenov		38	082 42	Bzenov	051	779 63 37,748 18 44	779 63 37	www.obecbzenov.sk	bzenov@onlinenet.sk	Štefan Rafajlovič			00326895	736	319	1423	0905 292 335	Obecný úrad
Žilinský	Dolný Kubín	Bziny	Brezovecká	96/8	026 01	Dolný Kubín	043	586 46 29	586 46 29	www.bziny.ocu.sk	"bziny@zoznam.sk;benusjan1@gmail.com;durajova.viera@gmail.com;bziny@ocu.sk"	PhDr. Ján Beňuš			00628883	555	584	1345	0902 050 505	Obecný úrad
Banskobystrický	Zvolen	Bzovská Lehôtka	Bzovská Lehôtka	26	962 62	Sása	045			www.bzovskalehotka.ocu.sk	"bzovskalehotka@zoznam.sk;starosta.lehotka@gmail.com;hospodarka.bzovska@gmail.com"	Martin Kubík			00648485	138	609	1524	0904 517 934,0915 811 654	Obecný úrad
Banskobystrický	Krupina	Čabradský Vrbovok	Čabradský Vrbovok	59	962 51	Čabradský Vrbovok	045	559 71 12	559 71 12		cabrad@post.sk	Ján Sliacky			00319783	270	2332	1135	0911 567 029	Obecný úrad
Nitriansky	Levice	Čaka	Čaka	112	935 68	Čaka	036	773 51 26,27	773 51 27	"www.caka.eu;www.obeccaka.sk"	"caka@caka.eu;starosta@caka.eu "	Ľudovít Viglaš			00306843	786	907	1287	0903 649 183 	Obecný úrad
Banskobystrický	Rimavská Sobota	Cakov	Cakov	73	980 42	Rimavská Seč	047	559 21 01	559 21 01		cakov@zoznam.sk	Karol Bari			00318647	302	429	1395	0903 537 133	Obecný úrad
Nitriansky	Levice	Čata	Hlavná	80	935 63	Čata	036	779 70 16,779 70 11	779 70 16	www.cata.ocu.sk	cata@nextra.sk	Ján Varga			00587672	1071	1500	1150		Obecný úrad
Košický	Michalovce	Čečehov	Čečehov	74	072 11	Čečehov	056	649 02 01,688 25 05,06		www.cecehov.sk	cecehov@cecehov.sk	Stanislav Mráz			00325104	345	761	1410	0917 945 970	Obecný úrad
Nitriansky	Topoľčany	Čeľadince	Čeľadince	3	956 16 	Nitrianska Streda	038	531 01 35 	531 01 44	celadince.ocu.sk	celadince@stonline.sk	Milan Morávka			00699144	444	3523	1113	0911 985 376	Obecný úrad
Prešovský	Prešov	Čelovce		49	082 14	Pušovce	051	799 77 16	799 77 16	www.obeccelovce.sk	"celovce@gtsmail.sk;celovce@nextra.sk"	Ján Kožlej			00690597	306	399	1335	0908 975 835	Obecný úrad
Trenčiansky	Prievidza	Čereňany	Pálenická	491/4	972 46	Čereňany	046	549 51 19,549 51 71,549 20 46,47	549 51 72	www.cerenany.sk	"cerenany@cerenany.sk;ocu@cerenany.sk;starosta@cerenany.sk;matrika@cerenany.sk"	Ján Mokrý		Ing. Richard Masný PhD	00318043	1687	1897	1329	0903 804 865	Obecný úrad
Prešovský	Svidník	Cernina		65	090 16	Cernina	054	788 12 13	788 12 13	www.obeccernina.sk	cerninask@gmail.com	Bc. Helena Madzinová			00330388	585	1312	1414	0907 991 406,0911 991 406	Obecný úrad
Banskobystrický	Krupina	Cerovo	Cerovo	259	962 52	Cerovo	045	557 32 82	557 32 82		cerovo@zoznam.sk	Margita Boďová			00319775	603	3028	1275	0905 973 749	Obecný úrad
Prešovský	Sabinov	Červenica pri Sabinove		122	082 56	Pečovská Nová Ves	051	458 31 39 	458 31 39 	www.cervenica.eu	"cervenica.s@centrum.sk;starosta@cervenica.eu"	Ing. Pavol Spodník			00326925	825	630	1278		Obecný úrad
Prešovský	Prešov	Červenica		41	082 07	Tuhrina	051	779 02 26	779 02 26	www.cervenica.ou.sk	"cervenica@gmail.com;cervenica@centrum.sk"	Marta Pavlinská			00326917	833	1780	1427	0905 376 836	Obecný úrad
Trnavský	Hlohovec	Červeník	Kalinčiakova	26	920 42	Červeník	033	734 11 27, 734 11 56	734 11 27	www.cervenik.sk	"cervenik@cervenik.sk;stefankova@cervenik.sk"	Marián Mihálik			00312355	1606	994	1113	0911 316 990	Obecný úrad
Nitriansky	Zlaté Moravce	Červený Hrádok	Červený Hrádok	193	951 82	Malé Vozokany	037	634 22 46,47,634 21 20	634 22 46	www.cervenyhradok.sk	"cervenyhradok@gmail.com;starosta@cervenyhradok.sk"	Ing. Bohumír Šabík			00656127	420	550	1386	0905 501 458	Obecný úrad
Banskobystrický	Poltár	České Brezovo	České Brezovo 	97	985 03	České Brezovo 	047	429 21 22	429 21 22	www.ceskebrezovo.sk	"ceske.brezovo@zoznam.sk;starostka@ceskebrezovo.sk;info@ceskebrezovo.sk;ceske.brezovo@zoznam.sk "	Ivan Miko			00316032	513	3856	1435	0903 254 386	Obecný úrad
Nitriansky	Nové Zámky	Chľaba	Chľaba	197	943 66	Chľaba	036	757 31 62	757 31 58	www.chlaba.sk	chlaba@atlas.sk	Henrieta Kosznovszka			00308927	700	1396	1138	0905 469 335	Obecný úrad
Prešovský	Prešov	Chmeľovec		98	082 12	Kapušany	051	794 41 07	794 41 07		chmelovec@pobox.sk	Ján Jakab			00327123	422	728	1251	0907 902 111	Obecný úrad
Banskobystrický	Rimavská Sobota	Chrámec	Chrámec	38	980 42	Rimavská Seč	047	559 32 23	559 32 23	"www.chramec.sk;www.gemernet.sk/chramec/"	chramec@gemernet.sk	Marta Benedeková			00649872	419	1284	1246	0907 804 857	Obecný úrad
Banskobystrický	Veľký Krtíš	Chrastince	Chrastince	18	991 08	Lesenice	047	489 41 05	489 41 05	www.chrastince.sk	"chrastince@gmail.com;chrasince@chrastince.sk  "	Ing. Jozef Varga			00647411	236	400	1244	0905 258 480	Obecný úrad
